MD,INCL,AZI,TVD,NS,EW
0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,30.00,0.00,0.00
60.00,0.00,0.00,60.00,0.00,0.00
90.00,0.00,0.00,90.00,0.00,0.00
120.00,0.00,0.00,120.00,0.00,0.00
150.00,0.00,0.00,150.00,0.00,0.00
180.00,0.00,0.00,180.00,0.00,0.00
210.00,0.00,0.00,210.00,0.00,0.00
240.00,0.00,0.00,240.00,0.00,0.00
270.00,0.00,0.00,270.00,0.00,0.00
300.00,0.00,0.00,300.00,0.00,0.00
330.00,0.00,0.00,330.00,0.00,0.00
360.00,0.00,0.00,360.00,0.00,0.00
390.00,0.00,0.00,390.00,0.00,0.00
420.00,0.00,0.00,420.00,0.00,0.00
450.00,0.00,0.00,450.00,0.00,0.00
480.00,0.00,0.00,480.00,0.00,0.00
510.00,0.00,0.00,510.00,0.00,0.00
540.00,0.00,0.00,540.00,0.00,0.00
570.00,0.00,0.00,570.00,0.00,0.00
600.00,0.00,0.00,600.00,0.00,0.00
630.00,0.00,0.00,630.00,0.00,0.00
660.00,0.00,0.00,660.00,0.00,0.00
690.00,0.00,0.00,690.00,0.00,0.00
720.00,0.00,0.00,720.00,0.00,0.00
750.00,0.00,0.00,750.00,0.00,0.00
780.00,0.00,0.00,780.00,0.00,0.00
810.00,0.00,0.00,810.00,0.00,0.00
840.00,0.00,0.00,840.00,0.00,0.00
870.00,0.00,0.00,870.00,0.00,0.00
900.00,0.00,0.00,900.00,0.00,0.00
930.00,0.00,0.00,930.00,0.00,0.00
960.00,0.00,0.00,960.00,0.00,0.00
990.00,0.00,0.00,990.00,0.00,0.00
1020.00,0.00,0.00,1020.00,0.00,0.00
1050.00,0.00,0.00,1050.00,0.00,0.00
1080.00,0.00,0.00,1080.00,0.00,0.00
1110.00,0.00,0.00,1110.00,0.00,0.00
1140.00,0.00,0.00,1140.00,0.00,0.00
1170.00,0.00,0.00,1170.00,0.00,0.00
1200.00,0.00,0.00,1200.00,0.00,0.00
1230.00,0.00,0.00,1230.00,0.00,0.00
1260.00,0.00,0.00,1260.00,0.00,0.00
1290.00,0.00,0.00,1290.00,0.00,0.00
1320.00,0.00,0.00,1320.00,0.00,0.00
1350.00,0.00,0.00,1350.00,0.00,0.00
1380.00,0.00,0.00,1380.00,0.00,0.00
1410.00,0.00,0.00,1410.00,0.00,0.00
1440.00,0.00,0.00,1440.00,0.00,0.00
1470.00,0.00,0.00,1470.00,0.00,0.00
1500.00,0.00,0.00,1500.00,0.00,0.00
1530.00,0.00,0.00,1530.00,0.00,0.00
1560.00,0.00,0.00,1560.00,0.00,0.00
1590.00,0.00,0.00,1590.00,0.00,0.00
1620.00,0.00,0.00,1620.00,0.00,0.00
1650.00,0.00,0.00,1650.00,0.00,0.00
1680.00,0.00,0.00,1680.00,0.00,0.00
1710.00,0.00,0.00,1710.00,0.00,0.00
1740.00,0.00,0.00,1740.00,0.00,0.00
1770.00,0.00,0.00,1770.00,0.00,0.00
1800.00,0.00,0.00,1800.00,0.00,0.00
1830.00,0.00,0.00,1830.00,0.00,0.00
1860.00,0.00,0.00,1860.00,0.00,0.00
1890.00,0.00,0.00,1890.00,0.00,0.00
1920.00,0.00,0.00,1920.00,0.00,0.00
1950.00,0.00,0.00,1950.00,0.00,0.00
1980.00,0.00,0.00,1980.00,0.00,0.00
2010.00,0.00,0.00,2010.00,0.00,0.00
2040.00,0.00,0.00,2040.00,0.00,0.00
2070.00,0.00,0.00,2070.00,0.00,0.00
2100.00,0.00,0.00,2100.00,0.00,0.00
2130.00,0.00,0.00,2130.00,0.00,0.00
2160.00,0.00,0.00,2160.00,0.00,0.00
2190.00,0.00,0.00,2190.00,0.00,0.00
2220.00,0.00,0.00,2220.00,0.00,0.00
2250.00,0.00,0.00,2250.00,0.00,0.00
2280.00,0.00,0.00,2280.00,0.00,0.00
2310.00,0.00,0.00,2310.00,0.00,0.00
2340.00,0.00,0.00,2340.00,0.00,0.00
2370.00,0.00,0.00,2370.00,0.00,0.00
2400.00,0.00,0.00,2400.00,0.00,0.00
2430.00,0.00,0.00,2430.00,0.00,0.00
2460.00,0.00,0.00,2460.00,0.00,0.00
2490.00,0.00,0.00,2490.00,0.00,0.00
2520.00,0.00,0.00,2520.00,0.00,0.00
2550.00,0.00,0.00,2550.00,0.00,0.00
2580.00,0.00,0.00,2580.00,0.00,0.00
2610.00,0.00,0.00,2610.00,0.00,0.00
2640.00,0.00,0.00,2640.00,0.00,0.00
2670.00,0.00,0.00,2670.00,0.00,0.00
2700.00,0.00,0.00,2700.00,0.00,0.00
2730.00,2.85,225.00,2729.99,-0.53,-0.53
2760.00,7.51,225.00,2759.86,-2.44,-2.44
2790.00,11.11,225.00,2789.46,-5.87,-5.87
2820.00,14.26,225.00,2818.72,-10.53,-10.53
2850.00,17.14,225.00,2847.60,-16.27,-16.27
2880.00,19.82,225.00,2876.05,-23.00,-23.00
2910.00,22.36,225.00,2904.04,-30.63,-30.63
2940.00,24.77,225.00,2931.53,-39.11,-39.11
2970.00,27.09,225.00,2958.51,-48.38,-48.38
3000.00,29.33,225.00,2984.95,-58.41,-58.41
3030.00,31.49,225.00,3010.82,-69.15,-69.15
3060.00,33.60,225.00,3036.10,-80.56,-80.56
3090.00,35.65,225.00,3060.79,-92.61,-92.61
3120.00,37.64,225.00,3084.86,-105.27,-105.27
3150.00,39.60,225.00,3108.30,-118.51,-118.51
3180.00,41.51,225.00,3131.09,-132.30,-132.30
3210.00,43.39,225.00,3153.22,-146.62,-146.62
3240.00,45.23,225.00,3174.69,-161.44,-161.44
3270.00,47.05,225.00,3195.47,-176.74,-176.74
3300.00,48.83,225.00,3215.57,-192.48,-192.48
3330.00,50.00,225.00,3235.09,-208.59,-208.59
3360.00,50.00,225.00,3254.37,-224.84,-224.84
3390.00,50.00,225.00,3273.66,-241.09,-241.09
3420.00,50.00,225.00,3292.94,-257.34,-257.34
