MD,INCL,AZI,TVD,NS,EW
0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,30.00,0.00,0.00
60.00,0.00,0.00,60.00,0.00,0.00
90.00,0.00,0.00,90.00,0.00,0.00
120.00,0.00,0.00,120.00,0.00,0.00
150.00,0.00,0.00,150.00,0.00,0.00
180.00,0.00,0.00,180.00,0.00,0.00
210.00,0.00,0.00,210.00,0.00,0.00
240.00,0.00,0.00,240.00,0.00,0.00
270.00,0.00,0.00,270.00,0.00,0.00
300.00,0.00,0.00,300.00,0.00,0.00
330.00,0.00,0.00,330.00,0.00,0.00
360.00,0.00,0.00,360.00,0.00,0.00
390.00,0.00,0.00,390.00,0.00,0.00
420.00,0.00,0.00,420.00,0.00,0.00
450.00,0.00,0.00,450.00,0.00,0.00
480.00,0.00,0.00,480.00,0.00,0.00
510.00,0.00,0.00,510.00,0.00,0.00
540.00,0.00,0.00,540.00,0.00,0.00
570.00,0.00,0.00,570.00,0.00,0.00
600.00,0.00,0.00,600.00,0.00,0.00
630.00,0.00,0.00,630.00,0.00,0.00
660.00,0.00,0.00,660.00,0.00,0.00
690.00,0.00,0.00,690.00,0.00,0.00
720.00,0.00,0.00,720.00,0.00,0.00
750.00,0.00,0.00,750.00,0.00,0.00
780.00,0.00,0.00,780.00,0.00,0.00
810.00,0.00,0.00,810.00,0.00,0.00
840.00,0.00,0.00,840.00,0.00,0.00
870.00,0.00,0.00,870.00,0.00,0.00
900.00,0.00,0.00,900.00,0.00,0.00
930.00,0.00,0.00,930.00,0.00,0.00
960.00,0.00,0.00,960.00,0.00,0.00
990.00,0.00,0.00,990.00,0.00,0.00
1020.00,0.00,0.00,1020.00,0.00,0.00
1050.00,0.00,0.00,1050.00,0.00,0.00
1080.00,0.00,0.00,1080.00,0.00,0.00
1110.00,0.00,0.00,1110.00,0.00,0.00
1140.00,0.00,0.00,1140.00,0.00,0.00
1170.00,0.00,0.00,1170.00,0.00,0.00
1200.00,0.00,0.00,1200.00,0.00,0.00
1230.00,0.00,0.00,1230.00,0.00,0.00
1260.00,0.00,0.00,1260.00,0.00,0.00
1290.00,0.00,0.00,1290.00,0.00,0.00
1320.00,0.00,0.00,1320.00,0.00,0.00
1350.00,0.00,0.00,1350.00,0.00,0.00
1380.00,0.00,0.00,1380.00,0.00,0.00
1410.00,0.00,0.00,1410.00,0.00,0.00
1440.00,0.00,0.00,1440.00,0.00,0.00
1470.00,0.00,0.00,1470.00,0.00,0.00
1500.00,0.00,0.00,1500.00,0.00,0.00
1530.00,0.00,0.00,1530.00,0.00,0.00
1560.00,0.00,0.00,1560.00,0.00,0.00
1590.00,0.00,0.00,1590.00,0.00,0.00
1620.00,0.00,0.00,1620.00,0.00,0.00
1650.00,0.00,0.00,1650.00,0.00,0.00
1680.00,0.00,0.00,1680.00,0.00,0.00
1710.00,0.00,0.00,1710.00,0.00,0.00
1740.00,0.00,0.00,1740.00,0.00,0.00
1770.00,0.00,0.00,1770.00,0.00,0.00
1800.00,0.00,0.00,1800.00,0.00,0.00
1830.00,0.00,0.00,1830.00,0.00,0.00
1860.00,0.00,0.00,1860.00,0.00,0.00
1890.00,0.00,0.00,1890.00,0.00,0.00
1920.00,0.00,0.00,1920.00,0.00,0.00
1950.00,0.00,0.00,1950.00,0.00,0.00
1980.00,0.00,0.00,1980.00,0.00,0.00
2010.00,0.00,0.00,2010.00,0.00,0.00
2040.00,0.00,0.00,2040.00,0.00,0.00
2070.00,0.00,0.00,2070.00,0.00,0.00
2100.00,0.00,0.00,2100.00,0.00,0.00
2130.00,7.37,315.00,2129.92,1.36,-1.36
2160.00,11.97,315.00,2159.48,4.92,-4.92
2190.00,15.90,315.00,2188.59,10.03,-10.03
2220.00,19.45,315.00,2217.17,16.47,-16.47
2250.00,22.74,315.00,2245.16,24.11,-24.11
2280.00,25.83,315.00,2272.50,32.83,-32.83
2310.00,28.77,315.00,2299.16,42.56,-42.56
2340.00,31.59,315.00,2325.09,53.22,-53.22
2370.00,34.31,315.00,2350.26,64.76,-64.76
2400.00,36.93,315.00,2374.64,77.11,-77.11
2430.00,39.48,315.00,2398.21,90.23,-90.23
2460.00,41.96,315.00,2420.95,104.07,-104.07
2490.00,44.38,315.00,2442.83,118.58,-118.58
2520.00,46.74,315.00,2463.83,133.73,-133.73
2550.00,49.06,315.00,2483.94,149.47,-149.47
2580.00,51.32,315.00,2503.15,165.76,-165.76
2610.00,53.55,315.00,2521.44,182.58,-182.58
2640.00,55.73,315.00,2538.80,199.87,-199.87
2670.00,57.88,315.00,2555.22,217.63,-217.63
2700.00,60.00,315.00,2570.69,235.80,-235.80
2730.00,60.00,315.00,2585.69,254.17,-254.17
2760.00,60.00,315.00,2600.69,272.54,-272.54
2790.00,60.00,315.00,2615.69,290.91,-290.91
2820.00,60.00,315.00,2630.69,309.28,-309.28
2850.00,60.00,315.00,2645.69,327.65,-327.65
2880.00,60.00,315.00,2660.69,346.02,-346.02
2910.00,60.00,315.00,2675.69,364.40,-364.40
2940.00,60.00,315.00,2690.69,382.77,-382.77
2970.00,60.00,315.00,2705.69,401.14,-401.14
3000.00,60.00,315.00,2720.69,419.51,-419.51
3030.00,60.00,315.00,2735.69,437.88,-437.88
3060.00,60.00,315.00,2750.69,456.25,-456.25
3090.00,60.00,315.00,2765.69,474.62,-474.62
3120.00,60.00,315.00,2780.69,492.99,-492.99
3150.00,60.00,315.00,2795.69,511.36,-511.36
3180.00,60.00,315.00,2810.69,529.74,-529.74
3210.00,60.00,315.00,2825.69,548.11,-548.11
3240.00,60.00,315.00,2840.69,566.48,-566.48
3270.00,60.00,315.00,2855.69,584.85,-584.85
3300.00,60.00,315.00,2870.69,603.22,-603.22
3330.00,60.00,315.00,2885.69,621.59,-621.59
3360.00,60.00,315.00,2900.69,639.96,-639.96
3390.00,60.00,315.00,2915.69,658.33,-658.33
3420.00,60.00,315.00,2930.69,676.71,-676.71
