MD,INCL,AZI,TVD,NS,EW
0.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,30.00,0.00,0.00
60.00,0.00,0.00,60.00,0.00,0.00
90.00,0.00,0.00,90.00,0.00,0.00
120.00,0.00,0.00,120.00,0.00,0.00
150.00,0.00,0.00,150.00,0.00,0.00
180.00,0.00,0.00,180.00,0.00,0.00
210.00,0.00,0.00,210.00,0.00,0.00
240.00,0.00,0.00,240.00,0.00,0.00
270.00,0.00,0.00,270.00,0.00,0.00
300.00,0.00,0.00,300.00,0.00,0.00
330.00,0.00,0.00,330.00,0.00,0.00
360.00,0.00,0.00,360.00,0.00,0.00
390.00,0.00,0.00,390.00,0.00,0.00
420.00,0.00,0.00,420.00,0.00,0.00
450.00,0.00,0.00,450.00,0.00,0.00
480.00,0.00,0.00,480.00,0.00,0.00
510.00,0.00,0.00,510.00,0.00,0.00
540.00,0.00,0.00,540.00,0.00,0.00
570.00,0.00,0.00,570.00,0.00,0.00
600.00,0.00,0.00,600.00,0.00,0.00
630.00,0.00,0.00,630.00,0.00,0.00
660.00,0.00,0.00,660.00,0.00,0.00
690.00,0.00,0.00,690.00,0.00,0.00
720.00,0.00,0.00,720.00,0.00,0.00
750.00,0.00,0.00,750.00,0.00,0.00
780.00,0.00,0.00,780.00,0.00,0.00
810.00,0.00,0.00,810.00,0.00,0.00
840.00,0.00,0.00,840.00,0.00,0.00
870.00,0.00,0.00,870.00,0.00,0.00
900.00,0.00,0.00,900.00,0.00,0.00
930.00,0.00,0.00,930.00,0.00,0.00
960.00,0.00,0.00,960.00,0.00,0.00
990.00,0.00,0.00,990.00,0.00,0.00
1020.00,0.00,0.00,1020.00,0.00,0.00
1050.00,0.00,0.00,1050.00,0.00,0.00
1080.00,0.00,0.00,1080.00,0.00,0.00
1110.00,0.00,0.00,1110.00,0.00,0.00
1140.00,0.00,0.00,1140.00,0.00,0.00
1170.00,0.00,0.00,1170.00,0.00,0.00
1200.00,0.00,0.00,1200.00,0.00,0.00
1230.00,0.00,0.00,1230.00,0.00,0.00
1260.00,0.00,0.00,1260.00,0.00,0.00
1290.00,0.00,0.00,1290.00,0.00,0.00
1320.00,0.00,0.00,1320.00,0.00,0.00
1350.00,0.00,0.00,1350.00,0.00,0.00
1380.00,0.00,0.00,1380.00,0.00,0.00
1410.00,0.00,0.00,1410.00,0.00,0.00
1440.00,0.00,0.00,1440.00,0.00,0.00
1470.00,0.00,0.00,1470.00,0.00,0.00
1500.00,0.00,0.00,1500.00,0.00,0.00
1530.00,0.00,0.00,1530.00,0.00,0.00
1560.00,0.00,0.00,1560.00,0.00,0.00
1590.00,0.00,0.00,1590.00,0.00,0.00
1620.00,0.00,0.00,1620.00,0.00,0.00
1650.00,0.00,0.00,1650.00,0.00,0.00
1680.00,0.00,0.00,1680.00,0.00,0.00
1710.00,0.00,0.00,1710.00,0.00,0.00
1740.00,0.00,0.00,1740.00,0.00,0.00
1770.00,0.00,0.00,1770.00,0.00,0.00
1800.00,0.00,0.00,1800.00,0.00,0.00
1830.00,0.00,0.00,1830.00,0.00,0.00
1860.00,0.00,0.00,1860.00,0.00,0.00
1890.00,0.00,0.00,1890.00,0.00,0.00
1920.00,0.00,0.00,1920.00,0.00,0.00
1950.00,0.00,0.00,1950.00,0.00,0.00
1980.00,0.00,0.00,1980.00,0.00,0.00
2010.00,0.00,0.00,2010.00,0.00,0.00
2040.00,0.00,0.00,2040.00,0.00,0.00
2070.00,0.00,0.00,2070.00,0.00,0.00
2100.00,0.00,0.00,2100.00,0.00,0.00
2130.00,0.00,0.00,2130.00,0.00,0.00
2160.00,0.00,0.00,2160.00,0.00,0.00
2190.00,0.00,0.00,2190.00,0.00,0.00
2220.00,0.00,0.00,2220.00,0.00,0.00
2250.00,0.00,0.00,2250.00,0.00,0.00
2280.00,0.00,0.00,2280.00,0.00,0.00
2310.00,0.00,0.00,2310.00,0.00,0.00
2340.00,0.00,0.00,2340.00,0.00,0.00
2370.00,6.01,180.00,2369.95,-1.57,0.00
2400.00,11.42,180.00,2399.59,-6.12,0.00
2430.00,15.86,180.00,2428.73,-13.19,0.00
2460.00,19.82,180.00,2457.29,-22.38,0.00
2490.00,23.47,180.00,2485.17,-33.44,0.00
2520.00,26.89,180.00,2512.31,-46.20,0.00
2550.00,30.13,180.00,2538.67,-60.52,0.00
2580.00,33.22,180.00,2564.20,-76.27,0.00
2610.00,36.20,180.00,2588.86,-93.35,0.00
2640.00,39.07,180.00,2612.61,-111.67,0.00
2670.00,41.86,180.00,2635.43,-131.14,0.00
2700.00,44.57,180.00,2657.29,-151.68,0.00
2730.00,47.21,180.00,2678.17,-173.21,0.00
2760.00,49.79,180.00,2698.05,-195.68,0.00
2790.00,52.31,180.00,2716.91,-219.01,0.00
2820.00,54.79,180.00,2734.73,-243.14,0.00
2850.00,57.21,180.00,2751.50,-268.01,0.00
2880.00,59.59,180.00,2767.22,-293.56,0.00
2910.00,61.94,180.00,2781.87,-319.74,0.00
2940.00,64.24,180.00,2795.45,-346.49,0.00
2970.00,65.00,180.00,2808.31,-373.59,0.00
3000.00,65.00,180.00,2820.99,-400.78,0.00
3030.00,65.00,180.00,2833.66,-427.97,0.00
3060.00,65.00,180.00,2846.34,-455.16,0.00
3090.00,65.00,180.00,2859.02,-482.35,0.00
3120.00,65.00,180.00,2871.70,-509.54,0.00
3150.00,65.00,180.00,2884.38,-536.73,0.00
3180.00,65.00,180.00,2897.06,-563.92,0.00
3210.00,65.00,180.00,2909.74,-591.11,0.00
3240.00,65.00,180.00,2922.41,-618.30,0.00
3270.00,65.00,180.00,2935.09,-645.48,0.00
3300.00,65.00,180.00,2947.77,-672.67,0.00
3330.00,65.00,180.00,2960.45,-699.86,0.00
3360.00,65.00,180.00,2973.13,-727.05,0.00
3390.00,65.00,180.00,2985.81,-754.24,0.00
3420.00,65.00,180.00,2998.49,-781.43,0.00
3450.00,65.00,180.00,3011.16,-808.62,0.00
